id,商品名,価格,価格の補足,区分,提供状況
lunch-set,ランチセット（デザート＆ドリンク付き）,1500,〜,定番,
banhmi-shrimp-avocado,バインミー ～海老アボカド～,720,〜,定番,
banhmi-chicken-avocado,バインミー ～ローストチキンとアボカド～,720,〜,定番,
banhmi-tuna-avocado,バインミー ～ツナアボカド～,720,〜,定番,
gapao-rice,ガパオライス,780,,定番,
green-curry,グリーンカレー,,,定番,
yam-woon-sen,ヤムウンセン,780,,定番,
roast-beef,黒毛和牛ローストビーフサラダ,,,定番,
roast-beef-don,黒毛和牛ローストビーフ丼,,,定番,
saikyo-yaki,西京焼き,,,変動,
loco-moco,ロコモコ,850,,定番,
kaisen-don,至福の海鮮丼,,,変動,
roast-chicken,若鶏ローストチキン,150,,定番,
bento,K-labo特製弁当,,,変動,
sports-bento,スポーツ弁当,,,定番,
party-platter,オードブル盛り合わせ,5000,前後〜,定番,
butter-sandwich,彩りバターサンド,350,,定番,
butter-sandwich-gift,彩りバターサンド ギフトボックス,2500,〜,定番,
stroopwafel,ストロープワッフル,450,〜,定番,
butterfly-pea-lemonade,バタフライピーレモネード,600,,定番,
mango-lemonade,マンゴーレモネード,600,,定番,
white-peach-lemonade,白桃レモネード,530,〜,定番,
coffee,挽き立てコーヒー（Hot & Iced）,420,〜,定番,
